record_id,external_id,decision,verification_method,evidence_url,notes
landmark-pham-van-dong,0x3142178599738b33:0xf208a358691762b3,accepted,requested_name_and_mapped_beach_geometry,https://www.openstreetmap.org/relation/19000664,"Tên panel trùng địa điểm yêu cầu; entity ID riêng; tọa độ 16.0732782,108.2468342 nằm trong hình học bãi biển OSM. Giữ POI riêng; quan hệ cha/con chưa xác minh."
focus-dn-001,0x3141f60e6b3844c9:0x5c53b85f61797909,accepted,venue_website_embeds_same_google_entity,https://sunworld.vn/vi/banahills,Website Sun World Bà Nà Hills nhúng bản đồ Google có cùng ID 0x3141f60e6b3844c9:0x5c53b85f61797909. Điểm Google ở khu tiếp cận; không thay tọa độ khu OSM và không coi là cổng đã xác minh.
focus-dn-010,0x3142183691882913:0xc9180a3982a9ef58,accepted,bilingual_name_and_osm_position,https://www.openstreetmap.org/way/1368599361,Đà Nẵng Museum tương ứng Bảo tàng Đà Nẵng; chênh tọa độ 51 m; địa chỉ Google 31 Trần Phú; website baotangdanang.vn.
focus-dn-011,0x31421832397ecc0d:0x90b24f8b8cb2873f,accepted,bilingual_name_and_osm_position,https://www.openstreetmap.org/way/204885903,Han Market tương ứng Chợ Hàn; tọa độ Google cách OSM 38 m; địa chỉ 119 Trần Phú.
focus-dn-012,0x314218358f50a1bb:0x4b451504a6ccd4df,accepted,bilingual_name_and_osm_position,https://www.openstreetmap.org/way/204790989,Con Market tương ứng Chợ Cồn; tọa độ Google cách OSM 37 m; địa chỉ 90 Hùng Vương.
focus-dn-015,0x314211a7b6e28e7f:0xec7c1825f7a8a06a,accepted,venue_website_name_address_and_area_description,https://langdamynghenonnuoc.com/,"Website ghi Làng đá mỹ nghệ Non Nước, địa chỉ 45 Huyền Trân Công Chúa khớp panel; mô tả khu làng nghề trải dọc Nguyễn Duy Trinh và Huyền Trân Công Chúa. Không coi điểm Google là cổng đã xác minh."
focus-dn-002,0x31420dd4e14b2edb:0xbc6e1faf738be4c5,accepted,curated_taxonomy_and_entity_position,https://www.openstreetmap.org/relation/8552348,"The Marble Mountains là tên tiếng Anh của Ngũ Hành Sơn; marker trong polygon OSM, lệch điểm đại diện 54 m. Nhãn Google Scenic spot rộng hơn taxonomy nature_area; giữ taxonomy đã biên tập."
focus-dn-017,0x31420f0062ae7c13:0xdea0701c8330039c,accepted,curated_taxonomy_and_entity_position,https://www.google.com/maps/place/Ph%E1%BB%91+C%E1%BB%95+H%E1%BB%99i+An/data=!4m7!3m6!1s0x31420f0062ae7c13:0xdea0701c8330039c!8m2!3d15.8786082!4d108.3326924!16s%2Fg%2F11m_62jvyq!19sChIJE3yuYgAPQjERnAMwgxxwoN4?authuser=0&hl=en&g_ep=EgoyMDI2MDkxNC4wIJJjKgBIAVAD&rclk=1&hl=en,Cùng external ID của POI Phố cổ Hội An đã có trong catalog; tọa độ khớp hoàn toàn. Nhãn Google Historical landmark không thay taxonomy old_quarter.
missing:osm:node:14078442086,0x31420d5715e1f2ab:0x383719b225a97b98,accepted,tool_review_name_variant_and_osm_position,https://www.openstreetmap.org/node/14078442086,"Khác cách viết barbecue/barbeque; tên doanh nghiệp còn lại trùng, tọa độ cách 19 m. Đối chiếu bằng công cụ từ quan sát đã lưu; chưa kiểm duyệt bởi người."
missing:osm:node:5513474821,0x31420e5f32af2c31:0xa80391de731b1be8,accepted,tool_review_name_variant_and_osm_position,https://www.openstreetmap.org/node/5513474821,Terracotta Park và Thanh Hà Terracotta Park chỉ cùng công viên; marker cách OSM 4 m. Giữ riêng với Làng gốm Thanh Hà. Đối chiếu bằng công cụ từ quan sát đã lưu; chưa kiểm duyệt bởi người.
missing:osm:node:7127464285,0x31420fcf0740a2b9:0x749f820a56bb0e9c,accepted,tool_review_name_variant_and_osm_position,https://www.openstreetmap.org/node/7127464285,"Tên Google Museum of Traditional Medicine lược tiền tố địa phương Hoi An; marker cách OSM 3 m, cùng loại bảo tàng. Đối chiếu bằng công cụ từ quan sát đã lưu; chưa kiểm duyệt bởi người."
